ENTREZ.ID	GENE.NAME	DEGREE	Closeness	Bet	CC	Cl	Clnorm	SP	PR	sgG5	BRIDGE_sgG5	PROB_sgG5	MIX_sgG5	BR_CONSENSUS	BR_CONSENSUS_MAD	BR_CONSENSUS_ADJ
7414	7414	4	0.267	91.472839805952	0.166666666666667	7591	0.0346673009454718	2	0.000570256925241047	91	0.314600683648965	0.999917280082282	0.5	0.314600683648965	0	0.093351294783232
7094	7094	7	0.297	961.170524467425	0.238095238095238	32485	0.14853559356146	1	0.000910786317141079	91	0.402738640280343	0.999998727480411	0.571428571428571	0.402738640280343	0	0.482035438206303
7402	7402	5	0.259	528.157397558117	0	7780	0.0355318107592592	3	0.000739497778655708	19	0.462019098016983	0.999501570532406	0.6	0.462019098016983	0	0.743459401476294
7846	7846	10	0.311	2274.2086514494	0.155555555555556	41418	0.189396261109409	1	0.00126602603471301	91	0.504422381005358	0.999999984855569	0.6	0.504422381005358	0	0.93045583702555
2923	2923	4	0.25	399.891116008986	0	3331	0.0151815241902653	3	0.000679573439670472	6	0.276367488750997	0.999999934805068	0.25	0.276367488750997	0	-0.0752552531470324
2475	2475	13	0.301	5498.1796030197	0.0384615384615385	26854	0.122778690061796	2	0.00172910247440749	14	0.682483638473104	0.999876212014752	0.769230769230769	0.682483638473104	0	1.71569740582142
6786	6786	2	0.227	40.7947164097886	0	1426	0.00646781416240892	3	0.000391810547299921	6	0.293432358389728	0.994618596552237	0.5	0.293432358389728	0	0
129285	129285	3	0.262	415.786359285221	0	6422	0.0293201476527872	2	0.000503516680920112	6	0.358334459929245	0.992425655154331	0.666666666666667	0.358334459929245	0	0.286215141664215
811	811	5	0.28	1456.4801773819	0	18000	0.0822793784677593	2	0.00080387301665565	6	0.395053947955975	0.999947509361361	0.6	0.395053947955975	0	0.448146315202701
26986	26986	5	0.246	1398.76246944764	0.3	4524	0.0206384565069229	3	0.000861292592347759	36	0.255395578027955	0.999999990231004	0.2	0.255395578027955	0	-0.1677403692863
6311	6311	7	0.272	3142.84617749035	0.0476190476190476	10053	0.0459287991547015	2	0.00111239556345116	32	0.498073112962665	0.999943487902627	0.571428571428571	0.498073112962665	0	0.902455870781052
3190	3190	16	0.304	7464.17146717825	0.1	31584	0.144414306036474	2	0.00219445540789331	36	0.328945658299959	1	0.375	0.328945658299959	0	0.15661194204292
5094	5094	7	0.266	1188.76579555748	0.333333333333333	10016	0.0457595564927432	3	0.00104534505290285	36	0.278330671778767	0.999999999774043	0.285714285714286	0.278330671778767	0	-0.0665977105547658
5093	5093	8	0.269	2129.70164491867	0.25	10984	0.0501873104596539	2	0.00127052995317375	36	0.153359910272951	0.999999999999996	0.125	0.153359910272951	0	-0.617712749356607
2935	2935	1	0.197	0	NA	393	0.00174274200557129	4	0.000267095525092195	36	0	0.992943063352045	0	0	0	-1.29402256680771
1956	1956	104	0.392	136871.975034788	0.0192307692307692	218633	1	0	0.0138920480437413	60	0.812086087855623	1	0.836538461538462	0.812086087855623	0	2.28723796506604
2010	2010	7	0.272	2224.24542488185	0.0476190476190476	10906	0.0498305286317417	2	0.00104117277881894	32	0.402738640280343	0.999943487902627	0.571428571428571	0.402738640280343	0	0.482035438206303
2947	2947	3	0.239	3719	0	2629	0.0119704877390553	2	0.000849649299854918	41	0.296768410171174	1	0.333333333333333	0.296768410171174	0	0.0147118276693146
71	71	13	0.288	3817.14220848896	0.153846153846154	19245	0.0879741653363584	2	0.00171348469309782	61	0.455074600775631	0.999999999998538	0.538461538461538	0.455074600775631	0	0.712834503135982
25930	25930	5	0.286	1047.27368439338	0	19521	0.0892366241120478	2	0.000738339106850822	80	0.462019098016983	0.999895187245551	0.6	0.462019098016983	0	0.743459401476294
10133	10133	12	0.313	9279.59183380814	0	35482	0.162244249180088	2	0.00181622529588382	89	0.612142913868251	0.999999999963367	0.666666666666667	0.612142913868251	0	1.40549819840002
7316	7316	46	0.331	32012.3599193686	0.0367149758454106	73363	0.335516716143463	2	0.00618125451609072	54	0.636364330314141	1	0.630434782608696	0.636364330314141	0	1.51231347825883
3315	3315	73	0.358	67834.0587711572	0.0136986301369863	127989	0.585382922957996	1	0.0103530191501724	56	0.734682318449722	1	0.780821917808219	0.734682318449722	0	1.94589107027612
1213	1213	16	0.31	8443.07468829098	0.0333333333333333	34942	0.159774221140696	2	0.00221363080237332	69	0.594207833587895	0.999999962479711	0.6875	0.594207833587895	0	1.32640535823866
