Human.Entrez.ID,Human.Gene.Name,Human.Uniprot.ID,Volgyi_2017,Neuner_2017,Sweet_2016,Shi_2014,Chang_2015,Chang_2013,Zolochevska_2018,Krivinko_2018
80017,C14orf159,Q7Z3D6,0,0,0,0,1,0,0,0
55737,VPS35,Q96QK1,0,1,1,0,1,0,0,1
9475,ROCK2,O75116,0,0,0,0,1,0,0,0
2534,FYN,P06241,0,0,0,0,1,0,0,0
1809,DPYSL3,Q14195,0,0,0,0,1,0,0,0
5413,SEPT5,Q99719,0,0,1,1,1,0,0,0
816,CAMK2B,Q13554,0,0,1,0,1,0,0,1
11151,CORO1A,P31146,0,0,0,0,1,0,0,0
3419,IDH3A,P50213,0,0,1,0,1,0,0,1
6624,FSCN1,Q16658,0,0,0,0,1,0,0,0
8991,SELENBP1,Q13228,0,0,0,0,1,0,0,0
7447,VSNL1,P62760,0,0,1,0,1,0,0,1
539,ATP5O,P48047,0,0,1,1,1,0,0,1
760,CA2,P00918,0,0,0,0,1,0,0,0
1742,DLG4,P78352,0,0,1,0,1,0,0,1
5520,PPP2R2A,P63151,0,0,0,0,1,0,0,0
9414,TJP2,Q9UDY2,0,0,0,0,1,0,0,0
2288,FKBP4,Q02790,0,0,0,0,1,0,0,0
274,BIN1,O00499,0,0,0,0,1,0,0,0
1499,CTNNB1,P35222,0,0,1,0,1,0,0,1
5578,PRKCA,P17252,0,0,1,0,1,0,0,1
1327,COX4I1,P13073,0,0,0,0,1,0,0,0
2820,GPD2,P43304,0,0,0,0,1,0,0,0
8874,ARHGEF7,Q14155,0,0,0,0,1,0,0,0
10327,AKR1A1,P14550,0,0,0,0,1,0,0,0
5162,PDHB,P11177,0,0,1,1,1,0,0,1
5048,PAFAH1B1,P43034,0,0,0,0,1,0,0,0
7425,VGF,O15240,0,0,0,0,1,0,0,0
6622,SNCA,P37840,0,0,0,0,1,0,0,0
10121,ACTR1A,P61163,0,0,0,0,1,0,0,0
1737,DLAT,P10515,0,1,0,1,1,0,0,0
64837,KLC2,Q9H0B6,0,0,0,0,1,0,0,0
3336,HSPE1,P61604,0,0,0,1,1,0,0,0
57471,ERMN,Q8TAM6,0,0,0,0,1,0,0,0
6520,SLC3A2,P08195,0,0,0,0,1,0,0,0
9961,MVP,Q14764,0,0,0,0,1,0,0,0
5064,PALM,O75781,0,0,0,0,1,0,0,0
8541,PPFIA3,O75145,0,0,0,0,1,0,0,0
10574,CCT7,Q99832,0,0,0,0,1,0,0,0
10131,TRAP1,Q12931,0,0,0,0,1,0,0,0
23236,PLCB1,Q9NQ66,0,0,0,0,1,0,0,0
57447,NDRG2,Q9UN36,0,0,0,0,1,0,0,0
23396,PIP5K1C,O60331,0,0,0,0,1,0,0,0
1501,CTNND2,Q9UQB3,0,0,0,0,1,0,0,0
23154,NCDN,Q9UBB6,0,1,1,0,1,0,0,1
3996,LLGL1,Q15334,0,0,0,0,1,0,0,0
29114,TAGLN3,Q9UI15,0,0,0,0,1,0,0,0
22933,SIRT2,Q8IXJ6,0,0,0,0,1,1,0,0
1509,CTSD,P07339,0,0,0,0,1,0,0,0
18,ABAT,P80404,0,0,0,1,1,0,0,0
5550,PREP,P48147,0,0,0,0,1,0,0,0
7529,YWHAB,P31946,0,0,0,0,1,0,0,0
26986,PABPC1,P11940,0,0,0,0,1,0,0,0
7316,UBC,P0CG48,0,0,0,0,1,0,0,0
112755,STX1B,P61266,1,0,1,1,1,0,0,1
5479,PPIB,P23284,0,0,0,0,1,0,0,0
5702,PSMC3,P17980,1,0,0,0,1,0,0,0
6000,RGS7,P49802,0,0,0,0,1,0,0,0
1363,CPE,P16870,0,0,0,0,1,0,0,0
10056,FARSB,Q9NSD9,0,0,0,0,1,0,0,0
56904,SH3GLB2,Q9NR46,0,0,0,0,1,0,0,0
477,ATP1A2,P50993,1,0,1,0,1,0,0,1
6950,TCP1,P17987,0,1,0,0,1,0,0,0
23335,WDR7,Q9Y4E6,0,0,0,0,1,0,0,0
63908,NAPB,Q9H115,0,0,0,0,1,0,0,0
8404,SPARCL1,Q14515,0,0,0,0,1,0,0,0
5250,SLC25A3,Q00325,0,0,1,1,1,0,0,1
11311,VPS45,Q9NRW7,0,0,0,0,1,0,0,0
2170,FABP3,P05413,0,0,0,0,1,0,0,0
5862,RAB2A,P61019,0,0,1,0,1,0,0,1
6453,ITSN1,Q15811,0,0,0,0,1,0,0,0
55229,PANK4,Q9NVE7,0,0,0,0,1,0,0,0
5837,PYGM,P11217,0,0,0,0,1,0,0,0
29,ABR,Q12979,0,0,0,0,1,0,0,0
5110,PCMT1,P22061,0,0,0,0,1,0,0,0
84457,PHYHIPL,Q96FC7,0,0,0,0,1,0,0,0
11315,PARK7,Q99497,0,0,0,0,1,0,0,0
134957,STXBP5,Q5T5C0,0,0,0,0,1,0,0,0
6647,SOD1,P00441,0,0,0,1,1,0,0,0
1974,EIF4A2,Q14240,0,0,0,0,1,0,0,0
57118,CAMK1D,Q8IU85,0,0,0,0,1,0,0,0
55964,SEPT3,Q9UH03,0,0,1,0,1,0,0,1
3315,HSPB1,P04792,0,0,0,0,1,1,0,0
84448,ABLIM2,Q6H8Q1,0,0,0,0,1,0,0,0
30,ACAA1,P09110,0,0,0,0,1,0,0,0
1020,CDK5,Q00535,0,0,1,0,1,0,0,1
29789,OLA1,Q9NTK5,0,0,0,0,1,0,0,0
51286,CEND1,Q8N111,0,0,0,0,1,0,0,0
347,APOD,P05090,0,0,0,0,1,0,0,0
9217,VAPB,O95292,0,0,0,0,1,0,0,0
8566,PDXK,O00764,0,0,0,0,1,0,0,0
832,CAPZB,P47756,0,0,0,0,1,0,0,0
57136,APMAP,Q9HDC9,0,0,0,0,1,0,0,0
622,BDH1,Q02338,0,1,0,0,1,0,0,0
399687,MYO18A,Q92614,0,0,0,0,1,0,0,0
488,ATP2A2,P16615,0,0,1,0,1,0,0,1
79784,MYH14,Q7Z406,0,0,0,0,1,0,0,0
6416,MAP2K4,P45985,0,0,0,0,1,0,0,0
84293,FAM213A,Q9BRX8,0,0,0,0,1,0,0,0
7533,YWHAH,Q04917,0,0,1,0,1,0,0,1
60484,HAPLN2,Q9GZV7,0,0,0,0,1,0,0,0
392,ARHGAP1,Q07960,0,0,0,0,1,0,0,0
57698,SHTN1,A0MZ66,0,0,0,0,1,0,0,0
821,CANX,P27824,0,0,0,0,1,0,0,0
7360,UGP2,Q16851,0,0,0,0,1,0,0,0
9805,SCRN1,Q12765,0,0,0,0,1,0,0,0
7917,BAG6,P46379,0,0,0,0,1,0,0,0
3420,IDH3B,O43837,0,0,0,1,1,0,0,0
10580,SORBS1,Q9BX66,0,0,0,0,1,0,0,0
10935,PRDX3,P30048,0,0,0,0,1,1,0,0
11080,DNAJB4,Q9UDY4,0,0,0,0,1,0,0,0
