entA,interaction,entB,directed
3939,pp,3939,FALSE
3939,pp,3945,FALSE
4054,pp,5879,FALSE
4513,pp,5682,FALSE
4830,pp,4831,FALSE
4852,pp,7917,FALSE
5058,pp,8655,FALSE
5447,pp,6772,FALSE
5682,pp,5684,FALSE
5682,pp,5825,FALSE
5684,pp,9253,FALSE
5684,pp,9212,FALSE
5869,pp,7905,FALSE
6648,pp,6648,FALSE
6782,pp,7917,FALSE
6993,pp,7295,FALSE
7430,pp,7430,FALSE
7531,pp,7534,FALSE
9588,pp,9588,FALSE
9961,pp,9961,FALSE
10061,pp,3030,FALSE
10247,pp,4513,FALSE
10454,pp,5516,FALSE
10454,pp,5518,FALSE
10728,pp,3326,FALSE
10987,pp,7001,FALSE
1399,pp,85358,FALSE
1459,pp,23170,FALSE
23530,pp,9961,FALSE
23647,pp,6642,FALSE
2521,pp,27316,FALSE
29979,pp,4852,FALSE
55738,pp,7905,FALSE
55740,pp,5594,FALSE
5594,pp,85358,FALSE
10243,pp,10243,FALSE
10454,pp,11151,FALSE
10458,pp,57142,FALSE
10935,pp,10935,FALSE
10987,pp,85358,FALSE
4831,pp,4831,FALSE
10243,pp,37,FALSE
5682,pp,87,FALSE
6232,pp,81,FALSE
6232,pp,87,FALSE
7295,pp,81,FALSE
8050,pp,87,FALSE
1739,pp,5605,FALSE
2770,pp,54331,FALSE
64077,pp,64077,FALSE
6723,pp,6723,FALSE
10972,pp,10972,FALSE
257194,pp,257194,FALSE
5818,pp,5818,FALSE
1956,pp,2934,FALSE
1956,pp,3326,FALSE
1956,pp,2597,FALSE
10092,pp,1956,FALSE
1956,pp,7295,FALSE
10971,pp,1956,FALSE
1956,pp,7336,FALSE
1778,pp,1956,FALSE
1956,pp,5052,FALSE
1956,pp,9590,FALSE
1956,pp,2288,FALSE
1956,pp,6900,FALSE
11345,pp,1956,FALSE
1956,pp,7167,FALSE
1956,pp,4190,FALSE
1956,pp,3308,FALSE
10963,pp,1956,FALSE
1956,pp,471,FALSE
1937,pp,1956,FALSE
1072,pp,1956,FALSE
1956,pp,5864,FALSE
