entA,entB
3315,5898
10133,3315
1410,1410
351,351
351,351
351,351
2521,5339
2011,4137
6622,6622
6622,6622
6622,6622
1956,1956
26986,6311
26986,6311
5906,7534
6622,6853
10376,10381
7531,9588
5479,7184
5479,9601
5479,9601
4137,5034
26986,2935
351,5621
64601,65082
57617,64601
55823,57617
64601,64601
55823,64601
64601,65082
64601,65082
2932,4137
51062,51062
51062,51062
51062,51062
23380,3064
3064,63908
3064,8239
10133,3064
26578,3064
10540,3064
3064,8453
29072,3064
3064,3329
3064,5315
10580,3064
1759,3064
3064,9901
1499,3064
3064,7529
29993,3064
128866,3064
3064,6867
1785,3064
23332,3064
2597,3064
120,3064
10458,3064
161,3064
3064,7430
1778,3064
3064,8065
1956,54187
1956,5516
4893,7464
4893,5516
4893,5921
7431,7529
6622,6622
5245,54828
57524,8573
57524,8573
351,351
1956,1956
1956,3326
11140,1956
1956,23386
10273,8079
5704,8079
11047,5704
5704,5708
3320,5567
11140,5567
10728,3320
10728,3326
10910,3326
5708,8943
3320,8943
27101,8943
10681,8079
10681,3326
10681,10726
10681,5202
10681,5708
10681,10963
11140,5170
5709,8079
5708,5709
10724,23386
10049,8079
10049,5708
10382,8079
10382,5708
3315,3315
3320,3320
3320,3326
10728,9601
2781,8079
23386,2781
2781,5708
10963,2781
27101,2781
7385,8079
3300,8079
3300,5708
2769,8079
2769,5708
27101,2769
1384,8079
1384,23386
1384,27101
1374,27101
3306,5708
10808,3306
3306,7265
2782,8079
2782,5708
23386,2782
10963,2782
2288,3326
11140,2288
10910,2288
2288,23386
11140,5562
5708,8079
10963,5708
23770,3326
23386,23770
23770,5708
11140,3320
11140,3326
7260,8079
3326,7260
10726,7260
23386,7260
5708,7260
10273,7260
2783,8079
2783,3326
10726,2783
2783,5202
23386,2783
2783,5708
10963,2783
55466,813
8079,813
23191,5708
23191,8079
140690,3326
10726,140690
140690,23386
10910,140690
10963,140690
10273,140690
55466,55466
3326,9212
11140,9212
10910,55631
5202,5202
10273,5708
26052,8079
23386,26052
26052,5708
10273,26052
26052,27101
26052,7265
10000,3326
10000,3320
10000,11140
2193,8079
2193,5708
11188,23386
11140,2534
10726,1762
11140,80349
10910,8036
2549,5781
1398,2549
2549,5921
2549,5335
2549,53358
1399,2549
6804,9342
10439,9342
3320,4035
7316,7323
5315,5595
5578,5578
1956,1956
351,351
351,351
351,351
351,351
3326,4137
3326,4137
214,3958
214,3956
57488,57488
6710,6772
1445,5170
1398,51493
26060,51493
22924,55198
2885,50855
1398,55748
1627,2885
1398,3927
