ENTREZ.ID,GENE.NAME,DEGREE,Closeness,Bet,CC,Cl,Clnorm,SP,PR,sgG5,BRIDGE_sgG5,PROB_sgG5,MIX_sgG5,BR_CONSENSUS,BR_CONSENSUS_MAD,BR_CONSENSUS_ADJ,DE
3840,3840,5,0.27399999999999997,1664.5763350351901,0.0,13892,0.0634888688643817,2,0.000816719355181426,3,0.414670412318834,0.9999237919366599,0.6,0.414670412318834,0,0.534653978181044,0
11333,11333,1,0.251,0.0,,7333,0.0334871764377622,3,0.000242861547462404,47,0.0,0.99105002397315,0.0,0.0,0,-1.2940225668077099,0
6188,6188,2,0.255,134.724051174429,0.0,7801,0.0356278674052355,3,0.000383773615199774,10,0.29343235838972803,0.9946304945860641,0.5,0.29343235838972803,0,0.0,0
3800,3800,2,0.254,0.0,1.0,8352,0.0381482108306155,3,0.000372593926515531,47,0.0,0.999921290589012,0.0,0.0,0,-1.2940225668077099,0
5905,5905,3,0.252,479.15723221840796,0.0,7971,0.0364054688250443,3,0.0005057712423323411,37,0.296768410171174,0.9995496278918641,0.33333333333333304,0.296768410171174,0,0.0147118276693146,0
821,821,2,0.264,168.606462405712,0.0,8922,0.0407554626499742,2,0.00038301690666549,47,0.29343235838972803,0.9825742986173721,0.5,0.29343235838972803,0,0.0,0
27044,27044,1,0.251,0.0,,7333,0.0334871764377622,3,0.000242861547462404,47,0.0,0.99105002397315,0.0,0.0,0,-1.2940225668077099,0
1654,1654,1,0.251,0.0,,7333,0.0334871764377622,3,0.000242861547462404,47,0.0,0.99105002397315,0.0,0.0,0,-1.2940225668077099,0
4172,4172,1,0.251,0.0,,7333,0.0334871764377622,3,0.000242861547462404,47,0.0,0.99105002397315,0.0,0.0,0,-1.2940225668077099,1
64423,64423,1,0.251,0.0,,7333,0.0334871764377622,3,0.000242861547462404,47,0.0,0.99105002397315,0.0,0.0,0,-1.2940225668077099,0
50813,50813,1,0.251,0.0,,7333,0.0334871764377622,3,0.000242861547462404,47,0.0,0.99105002397315,0.0,0.0,0,-1.2940225668077099,0
92675,92675,1,0.251,0.0,,7333,0.0334871764377622,3,0.000242861547462404,47,0.0,0.99105002397315,0.0,0.0,0,-1.2940225668077099,0
3958,3958,2,0.244,667.633257885728,0.0,2525,0.0114947786351723,2,0.000450129152761072,80,0.0,0.999986072325003,0.0,0.0,0,-1.2940225668077099,0
